ID,ParentID,Name,Type,BaseFlow,InitialStage,WarningStage,BoundaryStage,Comment,ShapeX,ShapeY,ShapeZ,TextX,TextY,TextZ,TextAngle,IsPlaced
0,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N307,2,0,0,0,,,690301.219138,806792.549513,0,690304.219138,690304.219138,0.0,0,1
1,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N211,2,0,0,0,,,691161.132117,806804.596405,0,691164.132117,691164.132117,0.0,0,1
2,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N212,2,0,0,0,,,690484.71221,806795.525229,0,690487.71221,690487.71221,0.0,0,1
3,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N213,2,0,0,0,,,692276.955016,806825.280747,0,692279.955016,692279.955016,0.0,0,1
4,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N214,2,0,0,0,,,692405.525953,806832.051403,0,692408.525953,692408.525953,0.0,0,1
5,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N215,2,0,0,0,,,693001.967346,806955.502271,0,693004.967346,693004.967346,0.0,0,1
6,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N216,2,0,0,0,,,693549.638166,806850.30071,0,693552.638166,693552.638166,0.0,0,1
7,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N217,2,0,0,0,,,693429.464194,806848.247565,0,693432.464194,693432.464194,0.0,0,1
8,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N218,2,0,0,0,,,697005.04825,807209.25406,0,697008.04825,697008.04825,0.0,0,1
9,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N219,2,0,0,0,,,696849.201777,807186.688161,0,696852.201777,696852.201777,0.0,0,1
10,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N220,2,0,0,0,,,696849.50263,807129.625611,0,696852.50263,696852.50263,0.0,0,1
11,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N222,2,0,0,0,,,696848.459325,806900.146411,0,696851.459325,696851.459325,0.0,0,1
12,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N223,2,0,0,0,,,693743.511794,806854.552014,0,693746.511794,693746.511794,0.0,0,1
13,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N224,2,0,0,0,,,694290.131764,806862.562169,0,694293.131764,694293.131764,0.0,0,1
14,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N225,2,0,0,0,,,694289.389312,806903.197586,0,694292.389312,694292.389312,0.0,0,1
15,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N226,2,0,0,0,,,694304.449321,807559.787808,0,694307.449321,694307.449321,0.0,0,1
16,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N227,2,0,0,0,,,694284.546473,807053.718282,0,694287.546473,694287.546473,0.0,0,1
17,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N228,2,0,0,0,,,694279.536969,807377.713369,0,694282.536969,694282.536969,0.0,0,1
18,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N229,2,0,0,0,,,694909.976981,806871.654014,0,694912.976981,694912.976981,0.0,0,1
19,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N230,2,0,0,0,,,695598.875538,806881.769479,0,695601.875538,695601.875538,0.0,0,1
20,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N231,2,0,0,0,,,695599.502833,806920.219534,0,695602.502833,695602.502833,0.0,0,1
21,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N232,2,0,0,0,,,695580.856873,807487.876863,0,695583.856873,695583.856873,0.0,0,1
22,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N233,2,0,0,0,,,695589.721028,807218.018479,0,695592.721028,695592.721028,0.0,0,1
23,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N234,2,0,0,0,,,696218.345755,806894.439729,0,696221.345755,696221.345755,0.0,0,1
24,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N014,2,0,0,0,,,696208.773924,807197.018849,0,696211.773924,696211.773924,0.0,0,1
25,{1E0A83D4-6F20-49F7-8831-0A7A575DD822},N007,2,0,0,0,,,696695.753265,806979.571121,0,696698.753265,696698.753265,0.0,0,1
