Name,Node_From,Node_To,LinkCount,FlowDirection,Comment,TextX,TextY,TextZ,TextAngle,IsPlaced,ShapeIsClosed,DampeningThreshold,WeirType,Geometry,Invert,ControlElevation,CrossSection,ExtrapolationMethod,MaxDepth,MaxWidth,Fillet,BottomWidth,LeftSideSlope,RightSideSlope,BottomClip,TopClip,WeirDischargeCoef,OrificeDischargeCoef,BottomClipTable,TopClipTable,WeirDischargeCoefTable,OrificeDischargeCoefTable,Node_BottomClip,Node_TopClip
"W-ASD-A15-1","N-ASD-A15","N-ADD-A13",1,0,"",393418.520300,682894.649000,0.000000,0.000000,1,0,0.000000,1,17,16.240000,16.240000,"X-ASD-A15-1",0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.200000,0.600000,"","","","","",""
"W-ASD-T15-1","N-ASD-T15","N-ASD-A14",1,0,"",393679.637800,682560.194000,0.000000,0.000000,1,0,0.000000,1,17,17.410000,17.410000,"X-ASD-T15-1",0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.200000,0.600000,"","","","","",""
"W-ASD-A15-2","N-ASD-A15","N-ASD-A14",1,0,"",393694.112600,682877.212400,0.000000,0.000000,1,0,0.000000,1,17,17.280000,17.280000,"X-ASD-A15-2",0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.200000,0.600000,"","","","","",""
"W-ADD-A13-1","N-ADD-A13","N-ADD-N13",1,0,"",392517.760200,682833.114000,0.000000,0.000000,1,0,0.000000,1,17,13.240000,13.240000,"X-ADD-A13-1",0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.200000,0.600000,"","","","","",""
"W-ABN-A01-1","N-ABN-A01","N-ADD-N13",1,0,"",392450.403800,682940.148900,0.000000,0.000000,1,0,0.000000,1,17,12.650000,12.650000,"X-ABN-A01-1",0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.200000,0.600000,"","","","","",""
"W-ADD-A14-1","N-ADD-A14","N-ADD-N13",1,0,"",392499.114900,682873.173700,0.000000,0.000000,1,0,0.000000,1,17,13.250000,13.250000,"X-ADD-A14-1",0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.200000,0.600000,"","","","","",""
"W-ADA-A05-1","N-ADA-A05","N-ADA-A04",1,0,"",391203.966600,682503.577000,0.000000,0.000000,1,0,0.000000,1,17,6.130000,6.130000,"X-ADA-A05-1",0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.200000,0.600000,"","","","","",""
"W-ADA-A04-1","N-ADA-A04","N-ADA-A03",1,0,"",391237.307400,682389.727800,0.000000,0.000000,1,0,0.000000,1,17,5.940000,5.940000,"X-ADA-A04-1",0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.200000,0.600000,"","","","","",""
"W-ADA-A03-1","N-ADA-A03","N-ADA-A02",1,0,"",391240.734900,682192.440400,0.000000,0.000000,1,0,0.000000,1,17,6.060000,6.060000,"X-ADA-A03-1",0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.200000,0.600000,"","","","","",""
"W-ADA-A03x-1","N-ADA-A03x","N-ADA-A02",1,0,"",391211.544700,682148.968400,0.000000,0.000000,1,0,0.000000,1,17,6.140000,6.140000,"X-ADA-A03x-1",0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.200000,0.600000,"","","","","",""
