Parent,Vertex,X,Y,Z
"W-ASD-A15-1",0,393679.150966,682884.115572,0.000000
"W-ASD-A15-1",1,393492.220894,682901.743162,0.000000
"W-ASD-A15-1",2,393418.520254,682894.649016,0.000000
"W-ASD-A15-1",3,393362.315314,682889.238921,0.000000
"W-ASD-A15-1",4,392557.392383,682881.388872,0.000000
"W-ASD-T15-1",0,393656.143794,682508.996244,0.000000
"W-ASD-T15-1",1,393664.154605,682549.843603,0.000000
"W-ASD-T15-1",2,393679.637842,682560.193976,0.000000
"W-ASD-T15-1",3,393682.645382,682562.204471,0.000000
"W-ASD-A15-2",0,393679.150966,682884.115572,0.000000
"W-ASD-A15-2",1,393683.882912,682881.932178,0.000000
"W-ASD-A15-2",2,393694.112551,682877.212371,0.000000
"W-ASD-A15-2",3,393691.507569,682570.250058,0.000000
"W-ASD-A15-2",4,393682.645382,682562.204471,0.000000
"W-ADD-A13-1",0,392557.392383,682881.388872,0.000000
"W-ADD-A13-1",1,392531.148997,682878.520439,0.000000
"W-ADD-A13-1",2,392528.580105,682839.955884,0.000000
"W-ADD-A13-1",3,392517.760244,682833.114034,0.000000
"W-ADD-A13-1",4,392504.968931,682825.025467,0.000000
"W-ADD-A13-1",5,392495.753071,682753.463602,0.000000
"W-ABN-A01-1",0,391860.202504,683191.025391,0.000000
"W-ABN-A01-1",1,392211.366828,683185.482423,0.000000
"W-ABN-A01-1",2,392431.580955,683172.978183,0.000000
"W-ABN-A01-1",3,392441.375883,683089.454728,0.000000
"W-ABN-A01-1",4,392437.530090,683053.079145,0.000000
"W-ABN-A01-1",5,392450.403752,682940.148925,0.000000
"W-ABN-A01-1",6,392470.435536,682916.215245,0.000000
"W-ABN-A01-1",7,392489.014567,682894.017127,0.000000
"W-ABN-A01-1",8,392490.675653,682761.522970,0.000000
"W-ABN-A01-1",9,392495.753071,682753.463602,0.000000
"W-ADD-A14-1",0,392535.493149,682924.991475,0.000000
"W-ADD-A14-1",1,392518.048630,682924.488523,0.000000
"W-ADD-A14-1",2,392500.541775,682923.983603,0.000000
"W-ADD-A14-1",3,392499.114941,682873.173665,0.000000
"W-ADD-A14-1",4,392497.429905,682813.167879,0.000000
"W-ADD-A14-1",5,392496.619867,682764.839236,0.000000
"W-ADD-A14-1",6,392495.753071,682753.463602,0.000000
"W-ADA-A05-1",0,391186.578524,682539.691392,0.000000
"W-ADA-A05-1",1,391193.977459,682514.992623,0.000000
"W-ADA-A05-1",2,391203.966612,682503.576963,0.000000
"W-ADA-A05-1",3,391213.074862,682491.120951,0.000000
"W-ADA-A05-1",4,391221.702141,682499.214111,0.000000
"W-ADA-A04-1",0,391221.702141,682499.214111,0.000000
"W-ADA-A04-1",1,391236.873042,682487.887034,0.000000
"W-ADA-A04-1",2,391237.307425,682389.727781,0.000000
"W-ADA-A04-1",3,391237.958014,682242.661474,0.000000
"W-ADA-A04-1",4,391225.585335,682230.575213,0.000000
"W-ADA-A03-1",0,391225.585335,682230.575213,0.000000
"W-ADA-A03-1",1,391241.213257,682214.449589,0.000000
"W-ADA-A03-1",2,391240.734911,682192.440446,0.000000
"W-ADA-A03-1",3,391240.128285,682164.536303,0.000000
"W-ADA-A03-1",4,391226.191633,682151.624583,0.000000
"W-ADA-A03x-1",0,391191.057189,682190.665187,0.000000
