Name,Node_From,Node_To,LinkCount,FlowDirection,Comment,TextX,TextY,TextZ,TextAngle,IsPlaced,ShapeIsClosed,DampeningThreshold,WeirType,Geometry,Invert,ControlElevation,CrossSection,ExtrapolationMethod,MaxDepth,MaxWidth,Fillet,BottomWidth,LeftSideSlope,RightSideSlope,BottomClip,TopClip,WeirDischargeCoef,OrificeDischargeCoef,BottomClipTable,TopClipTable,WeirDischargeCoefTable,OrificeDischargeCoefTable,Node_BottomClip,Node_TopClip
W-ASD-A15-1,N-ASD-A15,N-ADD-A13,1,0,,393679.15096632764,682884.1155721545,0,0,1,0,0,1,17,16.24,16.24,X-ASD-A15-1,0,0,0,0,0,0,0,0,0,3.2,0.6,,,,,,
W-ASD-T15-1,N-ASD-T15,N-ASD-A14,1,0,,393656.1437944956,682508.9962436557,0,0,1,0,0,1,17,17.41,17.41,X-ASD-T15-1,0,0,0,0,0,0,0,0,0,3.2,0.6,,,,,,
W-ASD-A15-2,N-ASD-A15,N-ASD-A14,1,0,,393679.15096632764,682884.1155721545,0,0,1,0,0,1,17,17.28,17.28,X-ASD-A15-2,0,0,0,0,0,0,0,0,0,3.2,0.6,,,,,,
W-ADB-A02-1,N-ADB-A02,N-ADB-A01,1,0,,391926.934326414,682033.5752784908,0,0,1,0,0,1,17,7.35,7.35,X-ADB-A02-1,0,0,0,0,0,0,0,0,0,3.2,0.6,,,,,,
W-ADB-B03-4,N-ADB-B03,N-ADB-A02,1,0,,391906.2496564947,682059.2763425708,0,0,1,0,0,1,17,7.29,7.29,X-ADB-B03-4,0,0,0,0,0,0,0,0,0,3.2,0.6,,,,,,
W-ASD-A13-1,N-ASD-A13,N-ASD-A19,1,0,,393688.5413674973,682187.0415069908,0,0,1,0,0,1,17,16.65,16.65,X-ASD-A13-1,0,0,0,0,0,0,0,0,0,3.2,0.6,,,,,,
W-ASD-S13-1,N-ASD-S13,N-ASD-A12,1,0,,393677.2201959118,681593.8576539904,0,0,1,0,0,1,17,16.05,16.05,X-ASD-S13-1,0,0,0,0,0,0,0,0,0,3.2,0.6,,,,,,
W-ASD-F05-1,N-ASD-F05,N-ASE-D03,1,0,,393375.90944682807,678237.3341833204,0,0,1,0,0,1,17,10.88,10.88,X-ASD-F05-1,0,0,0,0,0,0,0,0,0,3.2,0.6,,,,,,
W-ABF-A01-2,N-ABF-A01,N-ABF,1,0,,390379.92200049385,679684.850973323,0,0,1,0,0,1,17,5.18,5.18,X-ABF-A01-2,0,0,0,0,0,0,0,0,0,3.2,0.6,,,,,,
W-ABC-A01-1,N-ABC-A01,N-ABC,1,0,,391048.79238191247,679503.5534356534,0,0,1,0,0,1,17,6.89,6.89,X-ABC-A01-1,0,0,0,0,0,0,0,0,0,3.2,0.6,,,,,,
W-ABE-A01-2,N-ABE-A01,N-ABE,1,0,,390625.85097057745,680143.5439535752,0,0,1,0,0,1,17,5.59,5.59,X-ABE-A01-2,0,0,0,0,0,0,0,0,0,3.2,0.6,,,,,,
W-DB-08-2,N-ADB-08,N-ADB-B07x,1,0,,391262.1974669136,682764.4550503269,0,0,1,0,0,1,17,9.94,9.94,X-DB-08-2,0,0,0,0,0,0,0,0,0,3.2,0.6,,,,,,
W-ADD-D08-3,N-ADD-D08,N-ADD-A07,1,0,,392507.9859858304,682222.8222753257,0,0,1,0,0,1,17,12.51,12.51,X-ADD-D08-3,0,0,0,0,0,0,0,0,0,3.2,0.6,,,,,,
W-ADD-D08-4,N-ADD-D08,N-ADB-B04,1,0,,392507.9859858304,682222.8222753257,0,0,1,0,0,1,17,11.82,11.82,X-ADD-D08-4,0,0,0,0,0,0,0,0,0,3.2,0.6,,,,,,
W-ADD-A08-2,N-ADD-A08,N-ADD-D08,1,0,,392541.0781112462,682264.0019829869,0,0,1,0,0,1,17,12.77,12.77,X-ADD-A08-2,0,0,0,0,0,0,0,0,0,3.2,0.6,,,,,,
W-ADD-A09-3,N-ADD-A09,N-ADD-D08,1,0,,392540.02890074626,682293.1918852404,0,0,1,0,0,1,17,12.86,12.86,X-ADD-A09-3,0,0,0,0,0,0,0,0,0,3.2,0.6,,,,,,
W-ASD-K10-2,N-ASD-K10,N-ADD-B05,1,0,,393615.9637567438,681332.7505646572,0,0,1,0,0,1,17,13.8,13.8,X-ASD-K10-2,0,0,0,0,0,0,0,0,0,3.2,0.6,,,,,,
W-ADD-B05-3,N-ADD-B05,N-ADD-A03,1,0,,393148.6484184116,681374.7767273262,0,0,1,0,0,1,17,12.25,12.25,X-ADD-B05-3,0,0,0,0,0,0,0,0,0,3.2,0.6,,,,,,
W-ADE-A06-3,N-ADE-A06,N-ADD-B03,1,0,,392865.2716885805,680736.6011664048,0,0,1,0,0,1,17,12.16,12.16,X-ADE-A06-3,0,0,0,0,0,0,0,0,0,3.2,0.6,,,,,,
