Parent,Vertex,X,Y,Z
W-ASD-A15-1,0,393679.15096632764,682884.1155721545,0
W-ASD-A15-1,1,393492.220893994,682901.743161574,0
W-ASD-A15-1,2,393418.5202539973,682894.6490156576,0
W-ASD-A15-1,3,393362.3153139129,682889.2389214933,0
W-ASD-A15-1,4,392557.39238308,682881.3888715729,0
W-ASD-T15-1,0,393656.1437944956,682508.9962436557,0
W-ASD-T15-1,1,393664.1546052471,682549.8436029032,0
W-ASD-T15-1,2,393679.6378419958,682560.1939759031,0
W-ASD-T15-1,3,393682.6453819126,682562.2044705749,0
W-ASD-A15-2,0,393679.15096632764,682884.1155721545,0
W-ASD-A15-2,1,393683.88291224465,682881.9321775734,0
W-ASD-A15-2,2,393694.112550579,682877.2123707384,0
W-ASD-A15-2,3,393691.5075689107,682570.2500581592,0
W-ASD-A15-2,4,393682.6453819126,682562.2044705749,0
W-ADB-A02-1,0,391926.934326414,682033.5752784908,0
W-ADB-A02-1,1,391903.05346866325,682037.4683153257,0
W-ADB-A02-1,2,391884.0436641611,682036.5644457415,0
W-ADB-A02-1,3,391859.847190246,682035.4138574898,0
W-ADB-A02-1,4,391844.88199707866,682031.5575659871,0
W-ADB-B03-4,0,391906.2496564947,682059.2763425708,0
W-ADB-B03-4,1,391917.93303208053,682053.1972864866,0
W-ADB-B03-4,2,391921.9428665787,682046.7724305764,0
W-ADB-B03-4,3,391926.50847424567,682039.4578126594,0
W-ADB-B03-4,4,391926.934326414,682033.5752784908,0
W-ASD-A13-1,0,393688.5413674973,682187.0415069908,0
W-ASD-A13-1,1,393662.85801991075,682179.9568754882,0
W-ASD-A13-1,2,393620.14845966175,682168.1757310703,0
W-ASD-A13-1,3,393617.9785164967,682090.0508873239,0
W-ASD-A13-1,4,393564.8099876605,682086.7956444919,0
W-ASD-A13-1,5,393367.3274429962,682087.8806160763,0
W-ASD-A13-1,6,393176.43313974515,682174.4634481594,0
W-ASD-S13-1,0,393677.2201959118,681593.8576539904,0
W-ASD-S13-1,1,393660.8426039964,681842.7787440717,0
W-ASD-S13-1,2,393660.38033457845,681881.1681029871,0
W-ASD-S13-1,3,393686.3510831632,681886.0401404873,0
W-ASD-S13-1,4,393688.7365770787,681886.4876461551,0
W-ASD-S13-1,5,393692.47147774696,681887.188432157,0
W-ASD-F05-1,0,393375.90944682807,678237.3341833204,0
W-ASD-F05-1,1,393356.0289091617,678122.1985868216,0
W-ASD-F05-1,2,393352.7736663297,678064.6898435727,0
W-ASD-F05-1,3,393289.81020957977,677987.0075842366,0
W-ASD-F05-1,4,393245.89199033007,677973.156562075,0
W-ASD-F05-1,5,393053.25097141415,677931.9640591592,0
W-ASD-F05-1,6,393027.55646899715,677972.9364181533,0
W-ASD-F05-1,7,392967.8344755806,678054.1862556562,0
W-ASD-F05-1,8,392907.18367824703,678119.1395378262,0
W-ABF-A01-2,0,390379.92200049385,679684.850973323,0
W-ABF-A01-2,1,390393.86915107816,679690.0153330714,0
W-ABF-A01-2,2,390470.89032249525,679678.4585976601,0
W-ABF-A01-2,3,390535.30521991104,679668.7935907394,0
W-ABF-A01-2,4,390552.4508549124,679659.3109981567,0
W-ABC-A01-1,0,391048.79238191247,679503.5534356534,0
W-ABC-A01-1,1,391034.1536316611,679506.6639937386,0
W-ABC-A01-1,2,390972.6002770774,679501.2286371589,0
W-ABC-A01-1,3,390888.6673740782,679493.8169065714,0
W-ABC-A01-1,4,390875.5719278306,679487.1830615699,0
W-ABE-A01-2,0,390625.85097057745,680143.5439535752,0
W-ABE-A01-2,1,390636.0205696635,680116.3048348203,0
W-ABE-A01-2,2,390641.0044835806,680060.0172177404,0
W-ABE-A01-2,3,390646.65342241153,679996.2184608206,0
W-ABE-A01-2,4,390639.68985366076,679977.733917743,0
W-DB-08-2,0,391262.1974669136,682764.4550503269,0
W-DB-08-2,1,391294.7292259969,682887.8422707394,0
W-DB-08-2,2,391272.438588161,682940.3041080758,0
W-DB-08-2,3,391277.4946804121,683166.3948632404,0
W-DB-08-2,4,391774.2564821616,683188.4000685737,0
W-DB-08-2,5,391817.841368746,683190.3308389932,0
W-ADD-D08-3,0,392507.9859858304,682222.8222753257,0
W-ADD-D08-3,1,392522.53090424463,682218.5647379085,0
W-ADD-D08-3,2,392527.25399191305,682217.1821947396,0
W-ADD-D08-3,3,392545.608613994,682216.062446326,0
W-ADD-D08-4,0,392507.9859858304,682222.8222753257,0
W-ADD-D08-4,1,392499.3196645789,682222.9955033213,0
W-ADD-D08-4,2,392269.1377102472,682227.5988405719,0
W-ADD-D08-4,3,392089.2765214108,682255.3763440698,0
W-ADD-D08-4,4,391986.35415507853,682233.1109686568,0
W-ADD-D08-4,5,391860.48596849665,682223.7792944089,0
W-ADD-D08-4,6,391837.7842422463,682229.9439802393,0
W-ADD-A08-2,0,392541.0781112462,682264.0019829869,0
W-ADD-A08-2,1,392521.9774276614,682249.8428905755,0
W-ADD-A08-2,2,392515.36457999423,682244.9409974888,0
W-ADD-A08-2,3,392507.9859858304,682222.8222753257,0
W-ADD-A09-3,0,392540.02890074626,682293.1918852404,0
W-ADD-A09-3,1,392521.3284788281,682286.5344182402,0
W-ADD-A09-3,2,392513.97580324486,682283.9166413248,0
W-ADD-A09-3,3,392510.6769253276,682241.8160037398,0
W-ADD-A09-3,4,392507.9859858304,682222.8222753257,0
W-ASD-K10-2,0,393615.9637567438,681332.7505646572,0
W-ASD-K10-2,1,393574.166596245,681178.5313849077,0
W-ASD-K10-2,2,393329.01354324445,681191.272829242,0
W-ASD-K10-2,3,393235.6252785772,681243.3652447388,0
W-ASD-K10-2,4,393209.5744776614,681267.3317322433,0
W-ASD-K10-2,5,393179.99415624514,681276.4340762421,0
W-ASD-K10-2,6,393171.8133983277,681278.9514596537,0
W-ASD-K10-2,7,393164.95547241345,681350.9132579863,0
W-ASD-K10-2,8,393148.6484184116,681374.7767273262,0
W-ADD-B05-3,0,393148.6484184116,681374.7767273262,0
W-ADD-B05-3,1,393120.1031999141,681400.8039062396,0
W-ADD-B05-3,2,392908.4467990808,681394.839023158,0
W-ADD-B05-3,3,392894.53245683014,681398.8380309045,0
W-ADD-B05-3,4,392861.88685283065,681408.2202299908,0
W-ADD-B05-3,5,392803.323977828,681413.0122151598,0
W-ADD-B05-3,6,392574.3221392445,681409.3514613211,0
W-ADD-B05-3,7,392561.657138329,681427.5066087395,0
W-ADD-B05-3,8,392545.70933558047,681476.8119563237,0
W-ADE-A06-3,0,392865.2716885805,680736.6011664048,0
W-ADE-A06-3,1,392867.9166964106,680902.7245218232,0
W-ADE-A06-3,2,392803.9171524942,680902.5535904095,0
W-ADE-A06-3,3,392763.7820621617,680975.9550184086,0
W-ADE-A06-3,4,392733.47733274475,681031.3781359047,0
W-ADE-A06-3,5,392579.3808561638,681068.379046157,0
W-ASD-H07-1,0,393174.91017691046,679725.5533197373,0
W-ASD-H07-1,1,393217.86645583063,679783.1371940747,0
W-ASD-H07-1,2,393277.24133707955,679797.7208263204,0
W-ASD-H07-1,3,393657.2110495791,679934.850473322,0
W-ASD-H07-1,4,393655.9679418281,679951.1654013246,0
W-ASD-H07-1,5,393648.5306207463,680048.7826601565,0
W-ASD-H07-1,6,393569.3204773292,680075.9092463255,0
W-ASD-H07-1,7,393483.2133660801,680170.3673907369,0
W-ASD-H07-1,8,393398.9422091618,680218.7649317384,0
W-ASD-H07-1,9,393141.744232744,680217.4916403219,0
W-ASD-H07-1,10,393132.09333341196,680240.0037344098,0
W-ASD-D07-2,0,393663.5515880808,679397.5208393261,0
W-ASD-D07-2,1,393651.01289924607,679517.9100342393,0
W-ASD-D07-2,2,393627.4017259963,679538.743325904,0
W-ASD-D07-2,3,393256.56847816333,679533.1875627413,0
W-ASD-D07-2,4,393138.0562479943,679519.2702677399,0
W-ASD-D07-2,5,393125.16979083046,679505.1521857381,0
W-ASD-D07-2,6,393063.4602685794,679437.5447094068,0
W-ASD-D07-2,7,392980.56181233004,679274.0063225701,0
W-ASD-D07-2,8,392948.5448159948,679185.9231654033,0
W-ASD-A06-3,0,393709.1702632457,679791.3149992377,0
W-ASD-A06-3,1,393726.27160699666,679636.5705580711,0
W-ASD-A06-3,2,393726.1413579136,679394.3587721586,0
W-ASD-A06-3,3,393726.05736858025,679320.805113487,0
W-ASD-A06-3,4,393725.6882748306,678997.6197362393,0
